SiteCode,Plot,Competition,Rodents,Trt,Species,Fecundity,SeedSize_mg,Graminoid,Litterdepth,Year,numb,prec1,prod_m2
BM,294,+,+,++,PEPR,926,0.046,80,108,Adults_Y3,0,0,476
BM,294,+,+,++,POGL,12587,0.0956,80,108,Seedlings,5,0.000397241,476
BM,294,+,+,++,POGL,12587,0.0956,80,108,Adults_Y3,0,0,476
BM,294,+,+,++,ZIVE,290,1.375,80,108,Seedlings,0,0,476
BM,294,+,+,++,ZIVE,290,1.375,80,108,Adults_Y3,0,0,476
BM,298,+,-,+-,ACMI,1277,0.0884,80,104,Seedlings,45,0.035238841,476
BM,298,+,-,+-,ACMI,1277,0.0884,80,104,Adults_Y3,6,0.004698512,476
BM,298,+,-,+-,ANMI,1244,0.0441,80,104,Seedlings,1,0.000803565,476
BM,298,+,-,+-,ANMI,1244,0.0441,80,104,Adults_Y3,0,0,476
BM,298,+,-,+-,ARLU,4919,0.14,80,104,Seedlings,111,0.022565739,476
BM,298,+,-,+-,ARLU,4919,0.14,80,104,Adults_Y3,2,0.00040659,476
BM,298,+,-,+-,ARSO,59,0.752,80,104,Seedlings,4,0.067460317,476
BM,298,+,-,+-,ARSO,59,0.752,80,104,Adults_Y3,2,0.033730159,476
BM,298,+,-,+-,BASA,150,8.328,80,104,Seedlings,31,0.206666667,476
BM,298,+,-,+-,BASA,150,8.328,80,104,Adults_Y3,25,0.166666667,476
BM,298,+,-,+-,ERPU,6629,0.0689,80,104,Seedlings,6,0.000905132,476
BM,298,+,-,+-,ERPU,6629,0.0689,80,104,Adults_Y3,0,0,476
BM,298,+,-,+-,ERUM,494,2.164286,80,104,Seedlings,241,0.488170475,476
BM,298,+,-,+-,ERUM,494,2.164286,80,104,Adults_Y3,78,0.157997083,476
BM,298,+,-,+-,GAAR,230,3.92,80,104,Seedlings,59,0.256521739,476
BM,298,+,-,+-,GAAR,230,3.92,80,104,Adults_Y3,44,0.191304348,476
BM,298,+,-,+-,GETR,127,1.354558,80,104,Seedlings,9,0.071010161,476
BM,298,+,-,+-,GETR,127,1.354558,80,104,Adults_Y3,6,0.047340108,476
BM,298,+,-,+-,GEVI,36,8.68,80,104,Seedlings,9,0.252619059,476
BM,298,+,-,+-,GEVI,36,8.68,80,104,Adults_Y3,7,0.19648149,476
BM,298,+,-,+-,HEVI,5177,0.581626,80,104,Seedlings,125,0.024144521,476
BM,298,+,-,+-,HEVI,5177,0.581626,80,104,Adults_Y3,2,0.000386312,476
BM,298,+,-,+-,LIRU,138,31.084,80,104,Seedlings,41,0.297101449,476
BM,298,+,-,+-,LIRU,138,31.084,80,104,Adults_Y3,33,0.239130435,476
BM,298,+,-,+-,LOTR,37,3.652,80,104,Seedlings,5,0.133928571,476
BM,298,+,-,+-,LOTR,37,3.652,80,104,Adults_Y3,4,0.107142857,476
BM,298,+,-,+-,LUSE,78,20.92,80,104,Seedlings,43,0.551282051,476
BM,298,+,-,+-,LUSE,78,20.92,80,104,Adults_Y3,22,0.282051282,476
BM,298,+,-,+-,PEPR,926,0.046,80,104,Seedlings,17,0.018351512,476
BM,298,+,-,+-,PEPR,926,0.046,80,104,Adults_Y3,0,0,476
BM,298,+,-,+-,POGL,12587,0.0956,80,104,Seedlings,265,0.021053763,476
BM,298,+,-,+-,POGL,12587,0.0956,80,104,Adults_Y3,68,0.005402475,476
BM,298,+,-,+-,ZIVE,290,1.375,80,104,Seedlings,69,0.23780156,476
BM,298,+,-,+-,ZIVE,290,1.375,80,104,Adults_Y3,14,0.048249592,476
BM,307,-,-,--,ACMI,1277,0.0884,15,33,Seedlings,254,0.198903681,476
BM,307,-,-,--,ACMI,1277,0.0884,15,33,Adults_Y3,110,0.086139389,476
BM,307,-,-,--,ANMI,1244,0.0441,15,33,Seedlings,34,0.027321207,476
BM,307,-,-,--,ANMI,1244,0.0441,15,33,Adults_Y3,4,0.00321426,476
BM,307,-,-,--,ARLU,4919,0.14,15,33,Seedlings,142,0.028867883,476
BM,307,-,-,--,ARLU,4919,0.14,15,33,Adults_Y3,8,0.00162636,476
BM,307,-,-,--,ARSO,59,0.752,15,33,Seedlings,6,0.101190476,476
BM,307,-,-,--,ARSO,59,0.752,15,33,Adults_Y3,0,0,476
BM,307,-,-,--,BASA,150,8.328,15,33,Seedlings,21,0.14,476
BM,307,-,-,--,BASA,150,8.328,15,33,Adults_Y3,8,0.053333333,476
BM,307,-,-,--,ERPU,6629,0.0689,15,33,Seedlings,215,0.032433886,476
BM,307,-,-,--,ERPU,6629,0.0689,15,33,Adults_Y3,57,0.008598751,476
BM,307,-,-,--,ERUM,494,2.164286,15,33,Seedlings,330,0.668449198,476
BM,307,-,-,--,ERUM,494,2.164286,15,33,Adults_Y3,156,0.315994166,476
BM,307,-,-,--,GAAR,230,3.92,15,33,Seedlings,106,0.460869565,476
BM,307,-,-,--,GAAR,230,3.92,15,33,Adults_Y3,15,0.065217391,476
BM,307,-,-,--,GETR,127,1.354558,15,33,Seedlings,25,0.197250448,476
BM,307,-,-,--,GETR,127,1.354558,15,33,Adults_Y3,7,0.055230126,476
BM,307,-,-,--,GEVI,36,8.68,15,33,Seedlings,6,0.168412706,476
BM,307,-,-,--,GEVI,36,8.68,15,33,Adults_Y3,1,0.028068784,476
BM,307,-,-,--,HEVI,5177,0.581626,15,33,Seedlings,477,0.092135494,476
BM,307,-,-,--,HEVI,5177,0.581626,15,33,Adults_Y3,99,0.019122461,476
BM,307,-,-,--,LIRU,138,31.084,15,33,Seedlings,54,0.391304348,476
BM,307,-,-,--,LIRU,138,31.084,15,33,Adults_Y3,43,0.311594203,476
BM,307,-,-,--,LOTR,37,3.652,15,33,Seedlings,4,0.107142857,476
BM,307,-,-,--,LOTR,37,3.652,15,33,Adults_Y3,0,0,476
BM,307,-,-,--,LUSE,78,20.92,15,33,Seedlings,45,0.576923077,476
BM,307,-,-,--,LUSE,78,20.92,15,33,Adults_Y3,30,0.384615385,476
BM,307,-,-,--,PEPR,926,0.046,15,33,Seedlings,119,0.128460587,476
BM,307,-,-,--,PEPR,926,0.046,15,33,Adults_Y3,0,0,476
BM,307,-,-,--,POGL,12587,0.0956,15,33,Seedlings,766,0.060857292,476
BM,307,-,-,--,POGL,12587,0.0956,15,33,Adults_Y3,278,0.022086589,476
BM,307,-,-,--,ZIVE,290,1.375,15,33,Seedlings,91,0.313622347,476
BM,307,-,-,--,ZIVE,290,1.375,15,33,Adults_Y3,17,0.05858879,476
