Site,Species,Seed_loss_percent,SeedSize_mg_log10
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
BM,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
KL,GETR,0,-0.113509275
