Site,Species,Seed_loss_percent,SeedSize_mg_log10
DR,ZIVE,0.013333333,0.139879086
DR,ZIVE,0.013333333,0.139879086
CW,ACMI,0.013114754,-1.045757491
BN,ERUM,0.012658228,0.334453751
CW,ACMI,0.012295082,-1.045757491
CW,ACMI,0.012295082,-1.045757491
CW,ERUM,0.012048193,0.334453751
BN,GAAR,0.011904762,0.593286067
BF,ACMI,0.01147541,-1.045757491
DR,GETR,0.010989011,-0.113509275
BF,ACMI,0.010655738,-1.045757491
MG,BASA,0.009345794,0.920645001
BN,POGL,0.009259259,-1
BN,ACMI,0.009016393,-1.045757491
CW,ACMI,0.009016393,-1.045757491
BF,PEPR,0.008264463,-1.301029996
BF,ACMI,0.006557377,-1.045757491
BF,ACMI,0.006557377,-1.045757491
BF,ACMI,0.005737705,-1.045757491
BF,ACMI,0.005737705,-1.045757491
CW,ACMI,0.004918033,-1.045757491
CN,HEVI,0.004716981,-0.236572006
CW,PEPR,0.004166667,-1.301029996
BF,PEPR,0.004166667,-1.301029996
BF,PEPR,0.004166667,-1.301029996
KL,ACMI,0.004098361,-1.045757491
BF,ACMI,0.004098361,-1.045757491
BF,ACMI,0.004098361,-1.045757491
CW,ACMI,0.004098361,-1.045757491
CW,ACMI,0.004098361,-1.045757491
BF,ACMI,0.002459016,-1.045757491
BF,ACMI,0.001639344,-1.045757491
CN,LOTR,0,0.562292864
CW,LOTR,0,0.562292864
CW,LOTR,0,0.562292864
CW,LOTR,0,0.562292864
CW,LOTR,0,0.562292864
CW,LOTR,0,0.562292864
BF,LOTR,0,0.562292864
DR,LOTR,0,0.562292864
DR,LOTR,0,0.562292864
DR,LOTR,0,0.562292864
DR,LOTR,0,0.562292864
DR,LOTR,0,0.562292864
BN,HEVI,0,-0.236572006
CW,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
KL,GEVI,0,0.938519725
BN,GEVI,0,0.938519725
BN,LUSE,0,1.32056168
BN,LUSE,0,1.32056168
BN,LUSE,0,1.32056168
BN,LUSE,0,1.32056168
BF,LUSE,0,1.32056168
BF,LUSE,0,1.32056168
BF,LUSE,0,1.32056168
BF,LUSE,0,1.32056168
BF,LUSE,0,1.32056168
MG,BASA,0,0.920645001
MG,BASA,0,0.920645001
MG,BASA,0,0.920645001
MG,BASA,0,0.920645001
MG,BASA,0,0.920645001
MS,BASA,0,0.920645001
MS,BASA,0,0.920645001
MS,BASA,0,0.920645001
CW,BASA,0,0.920645001
CW,BASA,0,0.920645001
CW,BASA,0,0.920645001
DR,GETR,0,-0.113509275
DR,GETR,0,-0.113509275
DR,GETR,0,-0.113509275
DR,GETR,0,-0.113509275
DR,GETR,0,-0.113509275
DR,GETR,0,-0.113509275
DR,GETR,0,-0.113509275
DR,GETR,0,-0.113509275
DR,GETR,0,-0.113509275
DR,GETR,0,-0.113509275
DR,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BF,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
BN,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
CW,GETR,0,-0.113509275
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
BN,GAAR,0,0.593286067
